"SOURCE_ID","TITLE","SUBTITLE","AUTHOR","AUTHORS","ORGANIZATION","DATE","YEAR","LANGUAGE","COUNTRY","SOURCE_TYPE","DOMAIN","SUBDOMAIN","TOPICS","CASE_NAME","PARTICIPANTS","URL","DOI","ISBN","ARCHIVE_ID","DOCUMENT_NUMBER","FILE_PATH","FILE_FORMAT","PAGE_COUNT","WORD_COUNT","PRIMARY_SOURCE","SECONDARY_SOURCE","ORIGINAL_SOURCE","HOST_SOURCE","ACCESS_DATE","ACCESS_STATUS","COPYRIGHT_STATUS","LICENSE","TRAINING_PERMISSION","PROVENANCE","RELIABILITY_SCORE","TRAINING_VALUE","UNIQUENESS_SCORE","CASE_VALUE","TRANSCRIPT_VALUE","SOURCE_QUALITY","OCR_REQUIRED","OCR_QUALITY","DUPLICATE_STATUS","PARENT_SOURCE","RELATED_SOURCES","NOTES","AUTHORITY","PRIMARY_SOURCE_VALUE","NEGOTIATION_RELEVANCE","INFORMATION_DENSITY","CASE_DETAIL","TACTICAL_DETAIL","STRATEGIC_DETAIL","OUTCOME_VISIBILITY","COUNTERPARTY_VISIBILITY","UNIQUENESS","SHA256","FILE_SIZE_BYTES"
"SCH-2008-011","Merger negotiations and the toehold puzzle☆","","Sandra Betton","Sandra Betton; B. Espen Eckbo; Karin S. Thorburn","Concordia University; Dartmouth College","2008-11-12","2008","en","CA; US","scholarly paper","negotiation science","Corporate Finance and Governance","Corporate Finance and Governance; Auction Theory and Applications; Economic Policies and Impacts","","","https://repository.upenn.edu/bitstreams/8e3c3465-09cd-4f1b-abfb-941efe089375/download","10.1016/j.jfineco.2008.02.004","","W3125626571","","negotiations/PAPERS/SCH-2008-011_merger-negotiations-and-the-toehold-puzzle/original.pdf","PDF","48","","FALSE","TRUE","https://doi.org/10.1016/j.jfineco.2008.02.004","repository.upenn.edu","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","cc-by-nc-nd","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W3125626571; downloaded directly from repository.upenn.edu on 2026-09-20","5","4","4","3","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W4391375266; https://openalex.org/W2355561715; https://openalex.org/W2355326491; https://openalex.org/W2389286292; https://openalex.org/W2360751371; https://openalex.org/W2387920521; https://openalex.org/W2389754756; https://openalex.org/W2382224273","OpenAlex cited_by_count=320; OA status=green","5","1","5","4","3","3","4","3","3","4","a8d59a921cb9100aacc3eef63e848d9c0289f5e86ac5f8f718c7c8c38ba74bd1","451445"
"SCH-1999-016","Analogical encoding facilitates knowledge transfer in negotiation","","Jeffrey Loewenstein","Jeffrey Loewenstein; Leigh Thompson; Dedre Gentner","Northwestern University","1999-12-01","1999","en","US","scholarly paper","negotiation science","Language, Metaphor, and Cognition","Language, Metaphor, and Cognition; Team Dynamics and Performance; Conflict Management and Negotiation","","","https://link.springer.com/content/pdf/10.3758/BF03212967.pdf","10.3758/bf03212967","","W2011885271","","negotiations/PAPERS/SCH-1999-016_analogical-encoding-facilitates-knowledge-transfer-in-negotiation/original.pdf","PDF","12","","FALSE","TRUE","https://doi.org/10.3758/bf03212967","link.springer.com","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W2011885271; downloaded directly from link.springer.com on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W1574321967; https://openalex.org/W1994707871; https://openalex.org/W2375439106; https://openalex.org/W2011885271; https://openalex.org/W4213432393; https://openalex.org/W2050395060","OpenAlex cited_by_count=296; OA status=bronze","5","1","5","4","3","3","4","3","3","4","5938a4dc5698e1cdcb80079ece853be795070e6f47e17fc4874a9d598f703b1a","1373322"
"SCH-2009-021","Mediation, arbitration and negotiation","","Maria Goltsman","Maria Goltsman; Johannes Hörner; Gregory Pavlov; Francesco Squintani","Western University; Yale University; University of Essex; University of Brescia","2009-03-27","2009","en","CA; US; GB; IT","scholarly paper","negotiation science","Auction Theory and Applications","Auction Theory and Applications; Game Theory and Applications; Corporate Finance and Governance","","","https://discovery.ucl.ac.uk/14440/1/14440.pdf","10.1016/j.jet.2008.08.010","","W2208680581","","negotiations/PAPERS/SCH-2009-021_mediation-arbitration-and-negotiation/original.pdf","PDF","36","","FALSE","TRUE","https://doi.org/10.1016/j.jet.2008.08.010","discovery.ucl.ac.uk","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W2208680581; downloaded directly from discovery.ucl.ac.uk on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W4253334520; https://openalex.org/W1547970490; https://openalex.org/W2920986693; https://openalex.org/W3192200030; https://openalex.org/W197183991; https://openalex.org/W1913337491; https://openalex.org/W2525690271; https://openalex.org/W4386845240","OpenAlex cited_by_count=246; OA status=green","5","1","5","4","3","3","4","3","3","4","a0b102dcbe90f5344032bc2aaa23e6fa4b213efd2f7a1dd47ad4fa14041d4ba4","297317"
"SCH-1994-024","Auctions vs. Negotiations","","Jeremy Bulow","Jeremy Bulow; Paul Klemperer","National Bureau of Economic Research; St. Catherine University; University of Oxford; Stanford University","1994-01-01","1994","en","US; GB","scholarly paper","negotiation science","Auction Theory and Applications","Auction Theory and Applications; Law, Economics, and Judicial Systems; Corporate Finance and Governance","","","https://www.nber.org/system/files/working_papers/w4608/w4608.pdf","10.3386/w4608","","W1605899790","","negotiations/PAPERS/SCH-1994-024_auctions-vs-negotiations/original.pdf","PDF","22","","FALSE","TRUE","https://doi.org/10.3386/w4608","www.nber.org","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W1605899790; downloaded directly from www.nber.org on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W2263703840; https://openalex.org/W3125419042; https://openalex.org/W2069705450; https://openalex.org/W2322802588; https://openalex.org/W2401058949; https://openalex.org/W203077648; https://openalex.org/W995038129; https://openalex.org/W2991784296","OpenAlex cited_by_count=233; OA status=green","5","1","5","4","3","3","4","3","3","4","947b1348b7a30ee96678807bfef1934ce4cd4a5208494a9e725cc4351a7570ff","226295"
"SCH-1994-030","International Multilateral Negotiation: Approaches to the Management of Complexity","","I.W. Zartman","I.W. Zartman","","1994-01-01","1994","en","","scholarly paper","negotiation science","Business Strategy and Innovation","Business Strategy and Innovation","","","http://pure.iiasa.ac.at/id/eprint/3989/1/XB-94-006.pdf","","","W585655503","","negotiations/PAPERS/SCH-1994-030_international-multilateral-negotiation-approaches-to-the-management-of-complexit/original.pdf","PDF","270","","FALSE","TRUE","http://pure.iiasa.ac.at/id/eprint/3989/1/XB-94-006.pdf","pure.iiasa.ac.at","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","public-domain","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W585655503; downloaded directly from pure.iiasa.ac.at on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W2340454877; https://openalex.org/W2126380843; https://openalex.org/W2115172295; https://openalex.org/W2144083023; https://openalex.org/W2318228188; https://openalex.org/W2153031274; https://openalex.org/W2168202480; https://openalex.org/W2068869385","OpenAlex cited_by_count=214; OA status=green","5","1","5","4","3","3","4","3","3","4","b82b10a45d09d018531f35d4139b269ad6d5b6f39a3e78cd92f8c257b0344d65","7371875"
"SCH-2006-049","Multi-Issue Negotiation with Deadlines","","S. S. Fatima","S. S. Fatima; Michael Wooldridge; Nicholas R. Jennings","University of Liverpool; University of Southampton","2006-11-28","2006","en","GB","scholarly paper","negotiation science","Game Theory and Voting Systems","Game Theory and Voting Systems; Auction Theory and Applications; Game Theory and Applications","","","https://jair.org/index.php/jair/article/download/10474/25105","10.1613/jair.2056","","W2144187367","","negotiations/PAPERS/SCH-2006-049_multi-issue-negotiation-with-deadlines/original.pdf","PDF","37","","FALSE","TRUE","https://doi.org/10.1613/jair.2056","jair.org","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","cc-by","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W2144187367; downloaded directly from jair.org on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W2133110771; https://openalex.org/W2079755863; https://openalex.org/W2005903705; https://openalex.org/W2142967102; https://openalex.org/W2733697606; https://openalex.org/W1963790170; https://openalex.org/W2073298047; https://openalex.org/W2033790662","OpenAlex cited_by_count=141; OA status=diamond","5","1","5","4","3","3","4","3","3","4","9fc886ef557d7325b94d7494a17799f77e1930dd3d2218b97ab46fcefb834d7c","287002"
"BAR-2004-006","Open-Door or Closed-Door? Transparency in Domestic and International Bargaining","","David Stasavage","David Stasavage","London School of Economics and Political Science","2004-10-01","2004","en","GB","scholarly paper","negotiation science","European Union Policy and Governance","European Union Policy and Governance; Political Influence and Corporate Strategies; Electoral Systems and Political Participation","","","https://researchonline.lse.ac.uk/id/eprint/225/1/open-door8.pdf","10.1017/s0020818304040214","","W2143099036","","negotiations/PAPERS/BAR-2004-006_open-door-or-closed-door-transparency-in-domestic-and-international-bargaining/original.pdf","PDF","59","","FALSE","TRUE","https://doi.org/10.1017/s0020818304040214","researchonline.lse.ac.uk","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W2143099036; downloaded directly from researchonline.lse.ac.uk on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W4285318645; https://openalex.org/W4210530385; https://openalex.org/W4210745220; https://openalex.org/W1577348622; https://openalex.org/W4233161300; https://openalex.org/W4250495705","OpenAlex cited_by_count=332; OA status=green","5","1","5","4","3","3","4","3","3","4","acb8dd2a877c0e285ea735a858c28078e8b98648fd5d16907c980787d9f6bfe6","413145"
"BAR-2013-009","Price Discrimination and Bargaining: Empirical Evidence from Medical Devices","","Matthew Grennan","Matthew Grennan","University of Toronto","2013-01-28","2013","en","CA","scholarly paper","negotiation science","Consumer Market Behavior and Pricing","Consumer Market Behavior and Pricing; Merger and Competition Analysis; Pharmaceutical Economics and Policy","","","https://repository.upenn.edu/bitstreams/38160ad0-80fc-4c23-98c8-7d7da6ccce78/download","10.1257/aer.103.1.145","","W2096094825","","negotiations/PAPERS/BAR-2013-009_price-discrimination-and-bargaining-empirical-evidence-from-medical-devices/original.pdf","PDF","34","","FALSE","TRUE","https://doi.org/10.1257/aer.103.1.145","repository.upenn.edu","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W2096094825; downloaded directly from repository.upenn.edu on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W3123813253; https://openalex.org/W3087046172; https://openalex.org/W4287995793; https://openalex.org/W2047453649; https://openalex.org/W2043660387; https://openalex.org/W2605798446; https://openalex.org/W3215120865; https://openalex.org/W2367697891","OpenAlex cited_by_count=320; OA status=green","5","1","5","4","3","3","4","3","3","4","d5c9ed37a6ddd58e1fdf26cb076db88a6b25b74ff2ae79572c9f4a87089ee6fc","833674"
"BAR-2000-012","Preferences, Property Rights, and Anonymity in Bargaining Games","","Elizabeth Hoffman","Elizabeth Hoffman; Kevin McCabe; Keith Shachat; Vernon L. Smith","University of Arizona","2000-06-12","2000","en","US","scholarly paper","negotiation science","Law, Economics, and Judicial Systems","Law, Economics, and Judicial Systems","","","https://dlc.dlib.indiana.edu/bitstreams/eb9dd651-72ef-45cb-b6f0-5ac5715ee975/download","10.1017/cbo9780511528347.008","","W1576992071","","negotiations/PAPERS/BAR-2000-012_preferences-property-rights-and-anonymity-in-bargaining-games/original.pdf","PDF","42","","FALSE","TRUE","https://doi.org/10.1017/cbo9780511528347.008","dlc.dlib.indiana.edu","2026-09-20","ACQUIRED","Legally accessible open-access repository copy","Open-access copy; specific license not stated by repository","REVIEW_LICENSE","OpenAlex discovery record https://openalex.org/W1576992071; downloaded directly from dlc.dlib.indiana.edu on 2026-09-20","5","4","4","2","0","5","FALSE","N/A","UNIQUE_BY_SHA256","","https://openalex.org/W1997775730; https://openalex.org/W1966494590; https://openalex.org/W3023934611; https://openalex.org/W2157186778; https://openalex.org/W1993929477; https://openalex.org/W2033319591; https://openalex.org/W2082747743; https://openalex.org/W2071573776","OpenAlex cited_by_count=265; OA status=green","5","1","5","4","3","3","4","3","3","4","a3ff1d03753017887651ca8ca57b3348507b85a937b5a0e285b2bf9d1ba07322","492643"
