SOURCE_ID,TITLE,URL,ACCESS_DATE,ACCESS_STATUS,PROVENANCE,FILE_PATH,SHA256,BYTES,CONTENT_TYPE,HTTP_STATUS,SOURCE_COLLECTION
USGOV-2E1133957ADB3D38,Foreign Relations of the United States: frus1961-63v16,https://static.history.state.gov/frus/frus1961-63v16/pdf/frus1961-63v16.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v16,,,,,403,FRUS
USGOV-72F1294CEA1714C9,Foreign Relations of the United States: frus1961-63v17,https://static.history.state.gov/frus/frus1961-63v17/pdf/frus1961-63v17.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v17,,,,,403,FRUS
USGOV-7A67A7063871491C,Foreign Relations of the United States: frus1961-63v18,https://static.history.state.gov/frus/frus1961-63v18/pdf/frus1961-63v18.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v18,,,,,403,FRUS
USGOV-CAC670962D585AB4,Foreign Relations of the United States: frus1961-63v19,https://static.history.state.gov/frus/frus1961-63v19/pdf/frus1961-63v19.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v19,,,,,403,FRUS
USGOV-5D6FD71C86B2D47B,Foreign Relations of the United States: frus1961-63v20,https://static.history.state.gov/frus/frus1961-63v20/pdf/frus1961-63v20.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v20,,,,,403,FRUS
USGOV-9A74211D84010DD1,Foreign Relations of the United States: frus1961-63v21,https://static.history.state.gov/frus/frus1961-63v21/pdf/frus1961-63v21.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v21,,,,,403,FRUS
USGOV-D041B3C7FCAE5C08,Foreign Relations of the United States: frus1961-63v22,https://static.history.state.gov/frus/frus1961-63v22/pdf/frus1961-63v22.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v22,,,,,403,FRUS
USGOV-2A4804BFA87E075C,Foreign Relations of the United States: frus1961-63v23,https://static.history.state.gov/frus/frus1961-63v23/pdf/frus1961-63v23.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v23,,,,,403,FRUS
USGOV-9DACE79547D08A7F,Foreign Relations of the United States: frus1961-63v24,https://static.history.state.gov/frus/frus1961-63v24/pdf/frus1961-63v24.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v24,,,,,403,FRUS
USGOV-ABDEC32149A120AE,Foreign Relations of the United States: frus1961-63v25,https://static.history.state.gov/frus/frus1961-63v25/pdf/frus1961-63v25.pdf,2026-09-21,FAILED,https://history.state.gov/historicaldocuments/frus1961-63v25,,,,,403,FRUS
