SOURCE_ID,STATUS,FILE_PATH,FILE_SHA256,FILE_BYTES,ACQUIRED_AT,ERROR
W2141697271,FAILED,corpus/W2141697271/original.pdf,,,,ValueError: response is not a PDF
W2147100156,EXISTS,corpus/W2147100156/original.pdf,d0a811f73b59e9b5a6507e3d8a72bdc1c7c78c92abb6a0622ecd87029f290fda,208086,,
W2166623920,FAILED,corpus/W2166623920/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W2497832693,FAILED,corpus/W2497832693/original.pdf,,,,ValueError: response is not a PDF
W2743723307,FAILED,corpus/W2743723307/original.pdf,,,,ValueError: response is not a PDF
W2771377833,EXISTS,corpus/W2771377833/original.pdf,e222e57f359a585ed88b6cd678be60edd15a7b082e6f91329b211d83e0ab0d13,9059753,,
W2909724789,EXISTS,corpus/W2909724789/original.pdf,42a88fcb31de711d4197f2dd4e907450999b66d5ce79e87b2b331f1be6be59ee,774677,,
W2950676358,EXISTS,corpus/W2950676358/original.pdf,cd8ac8d803281d97211833451ef06d8161b862da6ab1d1101b30bb6b3fc5886c,938397,,
W2954134521,FAILED,corpus/W2954134521/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3016301144,EXISTS,corpus/W3016301144/original.pdf,c0d908af19615830ea20dbebc09ed70c0b0a76f7b1b3e22799fe6140afe7b00f,1188873,,
W3021213516,EXISTS,corpus/W3021213516/original.pdf,44f79f30aa6fa7e905ec0f12daf7f057c8ac1c3921d0b2ba2c90ae9bb7aba330,1083126,,
W3092652958,FAILED,corpus/W3092652958/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3157872126,FAILED,corpus/W3157872126/original.pdf,,,,ValueError: response is not a PDF
W4220668353,FAILED,corpus/W4220668353/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W4285589279,FAILED,corpus/W4285589279/original.pdf,,,,ValueError: response is not a PDF
