SOURCE_ID,STATUS,FILE_PATH,FILE_SHA256,FILE_BYTES,ACQUIRED_AT,ERROR
W1973766856,EXISTS,corpus/W1973766856/original.pdf,b49efc40f26b4fe964af3a3ae452a66273564db94571370fc98f2d0e55cbc948,4690384,,
W2033899776,EXISTS,corpus/W2033899776/original.pdf,8116ca36608c0958d498870e58fc60d561bbdc6542f5dea4ddab89684a405a07,225959,,
W2121226869,EXISTS,corpus/W2121226869/original.pdf,deba91698fb6ecaab9dff42e598ccd93dd6246b3de11fb5f82acdcf809008eec,1931723,,
W2124312773,FAILED,corpus/W2124312773/original.pdf,,,,ValueError: response is not a PDF
W2129293254,EXISTS,corpus/W2129293254/original.pdf,1e8185e127ca69fc5dc2997bed896aebc516f254259e3300e8126dbc89eb74a9,769930,,
W2135120423,EXISTS,corpus/W2135120423/original.pdf,49fb61a32edd63ffaaa8d76ef5a31ad1ae918c7604262e529ec895fcfef323bc,538733,,
W2269728413,ACQUIRED,corpus/W2269728413/original.pdf,ccc71abeb2a8dd3bd5c882e00c8e5f6cdb5401724740b13886008ca23ff2e162,686834,2026-09-21T04:44:31.635002+00:00,
W2512083222,FAILED,corpus/W2512083222/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W2530001457,FAILED,corpus/W2530001457/original.pdf,,,,ValueError: response is not a PDF
W2909340128,FAILED,corpus/W2909340128/original.pdf,,,,ValueError: response is not a PDF
W3037704972,FAILED,corpus/W3037704972/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3081778980,FAILED,corpus/W3081778980/original.pdf,,,,ValueError: response is not a PDF
W3107587855,FAILED,corpus/W3107587855/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
W3127104011,EXISTS,corpus/W3127104011/original.pdf,07af41563c44734feeb806493d88b2de449a10bda284e67134f17d988e7b81ef,2136331,,
W3189217376,FAILED,corpus/W3189217376/original.pdf,,,,HTTPError: HTTP Error 403: Forbidden
