SOURCE_ID,SHA256,SHARD,MEMBER,FILE_SIZE_BYTES
,00aa0240bacd4958dd09c060886cc8adb97dda59aa72518c1b38267651bd3e54,negotiation-corpus-0001.zip,pdf/00/00aa0240bacd4958dd09c060886cc8adb97dda59aa72518c1b38267651bd3e54.pdf,94027
,00b7c30b8ba5a50ec938a2a0c3e2de95ccf929a5be3ea493bb0b56c228814116,negotiation-corpus-0001.zip,pdf/00/00b7c30b8ba5a50ec938a2a0c3e2de95ccf929a5be3ea493bb0b56c228814116.pdf,1051052
,00ba0f6e63d5aed2c78fc09d7e8fbb7e57abf3d34b7018c3962abfef0a98bd20,negotiation-corpus-0001.zip,pdf/00/00ba0f6e63d5aed2c78fc09d7e8fbb7e57abf3d34b7018c3962abfef0a98bd20.pdf,3046504
,00bac8cdcf9b890108cd0c3d0c7866be05e5d3f8716e8bdd833ed15596ec4ed2,negotiation-corpus-0001.zip,pdf/00/00bac8cdcf9b890108cd0c3d0c7866be05e5d3f8716e8bdd833ed15596ec4ed2.pdf,271731
,00bbf4dd2148f72171fe3305fdda101611ac63846b828c75b88ec557b95b4a09,negotiation-corpus-0001.zip,pdf/00/00bbf4dd2148f72171fe3305fdda101611ac63846b828c75b88ec557b95b4a09.pdf,260958
,00bf0cb59e2b7a354e1f36701684f8435babc021bf167f6f69198b4ba7f9f8de,negotiation-corpus-0001.zip,pdf/00/00bf0cb59e2b7a354e1f36701684f8435babc021bf167f6f69198b4ba7f9f8de.pdf,7312122
,00cdaa37fd1cdd9712a6736773b8d09c73e441fbe2db39e91bf2fa8adfb64fc0,negotiation-corpus-0001.zip,pdf/00/00cdaa37fd1cdd9712a6736773b8d09c73e441fbe2db39e91bf2fa8adfb64fc0.pdf,727689
,00d852ae358bc03870d003cf65ca6914a9bc8a6e87dc22096a21f6bc2c8e35f6,negotiation-corpus-0001.zip,pdf/00/00d852ae358bc03870d003cf65ca6914a9bc8a6e87dc22096a21f6bc2c8e35f6.pdf,1867484
,00d8c7ac8dd673aa6f266e54a988c70296728fd98fa5a6f00ee5de455866e555,negotiation-corpus-0001.zip,pdf/00/00d8c7ac8dd673aa6f266e54a988c70296728fd98fa5a6f00ee5de455866e555.pdf,1294919
,00ddb13d9d6251b3bf2f1d19c0373a28ff9d8cebf3ffa8eb1ea90067d14b2f7b,negotiation-corpus-0001.zip,pdf/00/00ddb13d9d6251b3bf2f1d19c0373a28ff9d8cebf3ffa8eb1ea90067d14b2f7b.pdf,2197330
,00dfa8211810355f65ed13e3cf653796bacabcd149c7a3103ba54be7d9666a55,negotiation-corpus-0001.zip,pdf/00/00dfa8211810355f65ed13e3cf653796bacabcd149c7a3103ba54be7d9666a55.pdf,269587
,00e14141bd4127022032799cc55c0ac48b988882d98d6a546c10d42085e4111e,negotiation-corpus-0001.zip,pdf/00/00e14141bd4127022032799cc55c0ac48b988882d98d6a546c10d42085e4111e.pdf,2356979
,00eba21139eb6a59b423a5980ed5127b05ba603237ef7020bb21a399bacbc566,negotiation-corpus-0001.zip,pdf/00/00eba21139eb6a59b423a5980ed5127b05ba603237ef7020bb21a399bacbc566.pdf,500758
,00ececd2e78265ccbedcb04f785493d76bab3b8ce4ca138930d864ce4ac8b836,negotiation-corpus-0001.zip,pdf/00/00ececd2e78265ccbedcb04f785493d76bab3b8ce4ca138930d864ce4ac8b836.pdf,1054000
,00f1d72e24f116d458ab58936433a88e5d5bea7a45dcc1e3e4aeefc07dd82c10,negotiation-corpus-0001.zip,pdf/00/00f1d72e24f116d458ab58936433a88e5d5bea7a45dcc1e3e4aeefc07dd82c10.pdf,145968
,00f87883ea4b39900b13a276b68594c27e5b8939989bb11673f8b293d05c2301,negotiation-corpus-0001.zip,pdf/00/00f87883ea4b39900b13a276b68594c27e5b8939989bb11673f8b293d05c2301.pdf,249587
,0101175698bc43288f3ab83d468b6fa5ff5c3a8892b32e2f6ec98f45e395ce13,negotiation-corpus-0001.zip,pdf/01/0101175698bc43288f3ab83d468b6fa5ff5c3a8892b32e2f6ec98f45e395ce13.pdf,3595793
,0107e596de0ee9c1e570d79bcbe64db4be39d29a8e82321ced64e28ee3468aee,negotiation-corpus-0001.zip,pdf/01/0107e596de0ee9c1e570d79bcbe64db4be39d29a8e82321ced64e28ee3468aee.pdf,1283746
,010dd92d09a4c7a056659315049df62bcc061b93c48132992b9926f924df7f73,negotiation-corpus-0001.zip,pdf/01/010dd92d09a4c7a056659315049df62bcc061b93c48132992b9926f924df7f73.pdf,123094
,0113ff7941ec640db87a3809ec7a6ec183320b4d2c7ae6af68e1e5b64d78b8cd,negotiation-corpus-0001.zip,pdf/01/0113ff7941ec640db87a3809ec7a6ec183320b4d2c7ae6af68e1e5b64d78b8cd.pdf,41592
,0115adb4cfc38eccedec5b19b1c7486a79632913b77278aba835c0819c4be16c,negotiation-corpus-0001.zip,pdf/01/0115adb4cfc38eccedec5b19b1c7486a79632913b77278aba835c0819c4be16c.pdf,665343
,011dfb7021d35d6b000ff99a2c92adc39822a3e31835e6b2a8f7c92f91d5c984,negotiation-corpus-0001.zip,pdf/01/011dfb7021d35d6b000ff99a2c92adc39822a3e31835e6b2a8f7c92f91d5c984.pdf,26338206
,01223d2e69362f9b2e869bdc55370e1b8a8e2414adf46e5ecc9a53a708f15867,negotiation-corpus-0001.zip,pdf/01/01223d2e69362f9b2e869bdc55370e1b8a8e2414adf46e5ecc9a53a708f15867.pdf,527358
,012bbdcd1a9891c9071d49ea654c3a72733ad4804e29775c639132e86a327d51,negotiation-corpus-0001.zip,pdf/01/012bbdcd1a9891c9071d49ea654c3a72733ad4804e29775c639132e86a327d51.pdf,183792
,0134a688f6331f4bd753af8edc5fb3aa4d9016ef29dc236e99e02dd4de29f263,negotiation-corpus-0001.zip,pdf/01/0134a688f6331f4bd753af8edc5fb3aa4d9016ef29dc236e99e02dd4de29f263.pdf,191869
,01463046e06e3e7203c04f56769a1ee8fc2ff3bfec13e4d2328f79e6f82a723e,negotiation-corpus-0001.zip,pdf/01/01463046e06e3e7203c04f56769a1ee8fc2ff3bfec13e4d2328f79e6f82a723e.pdf,11729
,0146ff573866298f2d70a48f6cf24f60a0ca0e4c8c524d258481b1444a661ae4,negotiation-corpus-0001.zip,pdf/01/0146ff573866298f2d70a48f6cf24f60a0ca0e4c8c524d258481b1444a661ae4.pdf,752038
,014fc60ee6e9fab128b665396ed22db962c476158ffe8d5ebc3a15c579906dd4,negotiation-corpus-0001.zip,pdf/01/014fc60ee6e9fab128b665396ed22db962c476158ffe8d5ebc3a15c579906dd4.pdf,239648
,0157b4f9806804868a8a259176fbaf51a4a38f4e97ce8b09638948a040757a33,negotiation-corpus-0001.zip,pdf/01/0157b4f9806804868a8a259176fbaf51a4a38f4e97ce8b09638948a040757a33.pdf,634451
,015b5ce125e0fb3ad29b11f72c097a563659df169b9c414b571ed3e0378d4aa6,negotiation-corpus-0001.zip,pdf/01/015b5ce125e0fb3ad29b11f72c097a563659df169b9c414b571ed3e0378d4aa6.pdf,902999
,015bb36562756d49e1007025f5b40c0c0433a7ae68a452e75164c4fe687e0e2c,negotiation-corpus-0001.zip,pdf/01/015bb36562756d49e1007025f5b40c0c0433a7ae68a452e75164c4fe687e0e2c.pdf,396422
